features,empVarRatePos,empVarRateNeg,consPriceIdxGreater,consPriceIdxLess,consConfIdxGreater,consConfIdxLess,consConfIdxNeg,euribor3mGreater,euribor3mLess,nr.employedGreater,nr.employedLess
campaign,0,0.078502739,0.108350017,0.098992274,0.07957635,0.123017526,0.101049842,0.159557524,0.079341944,0.156705017,0.078478191
cons.conf.idx,0.0052872,0.066413422,0.014285702,0.034890419,0.03024225,0.025839168,0.032524882,0.005432883,0.058375776,0.006035665,0.04984483
cons.price.idx,0.00529401,0.039678386,0.015381509,0.034808745,0.027101563,0.0196383,0.021608589,0.008056135,0.025368267,0.008563576,0.029476324
contact_cellular,0.00743121,0.010070305,0.015375546,0.007417541,0.011672316,0.008977813,0.010118581,0.006363644,0.010443103,0.005554134,0.011497483
contact_telephone,0.00642074,0.009857406,0.016804082,0.007130554,0.013121129,0.010698093,0.012751093,0.004944436,0.011216138,0.006001472,0.010888453
day_of_week_fri,0.0206387,0.014545435,0.01345782,0.015256836,0.010757537,0.018124739,0.014550038,0.019620324,0.015360433,0.019961028,0.015534535
day_of_week_mon,0.0223422,0.015249854,0.014417238,0.015859314,0.010874218,0.018672663,0.015288876,0.021465664,0.017507961,0.02055503,0.017770051
day_of_week_thu,0.0199949,0.015937591,0.012749037,0.016455265,0.010926128,0.018090531,0.014016613,0.019789783,0.016319773,0.020412811,0.016748075
day_of_week_tue,0.0199579,0.014433995,0.01233938,0.014790547,0.011070565,0.016010934,0.014228362,0.019265625,0.015317161,0.019357828,0.015264665
day_of_week_wed,0.0220241,0.014699942,0.01462242,0.015087851,0.011595163,0.017790429,0.014504779,0.020164872,0.015648887,0.020364028,0.014807844
default_no,0.0224835,0.008309222,0.014982394,0.010351777,0.011022583,0.014682355,0.012153512,0.02077821,0.008395487,0.020110882,0.007773266
default_unknown,0.022348,0.00797755,0.015092057,0.010742553,0.0089556,0.013679572,0.012083854,0.020273936,0.008394549,0.020137557,0.008142905
default_yes,0.00158725,0,0,7.95E-06,0,1.07E-07,5.27E-06,4.63E-07,0,9.69E-06,0
education,0.166341,0.073554188,0.086040885,0.08184583,0.059336155,0.100900345,0.081645743,0.11784983,0.072936642,0.119669139,0.071961151
emp.var.rate,0.00220108,0.024758729,0.079270205,0.029932946,0.109467092,0.022471083,0.046696822,0.004355877,0.015491098,0.003786827,0.011695473
euribor3m,0.120893,0.133620145,0.129805116,0.134337313,0.138780665,0.124385841,0.138111804,0.109644951,0.133506033,0.11013233,0.130294487
